"filename", "language", "JSON", "TypeScript", "HTML", "JSON with Comments", "vue", "Markdown", "CSS", "XML", "comment", "blank", "total"
"d:\project\bun_vite_uno_naive\.prettierrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\project\bun_vite_uno_naive\README.md", "Markdown", 0, 0, 0, 0, 0, 72, 0, 0, 0, 61, 133
"d:\project\bun_vite_uno_naive\bun.lock", "JSON with Comments", 0, 0, 0, 536, 0, 0, 0, 0, 0, 496, 1032
"d:\project\bun_vite_uno_naive\cspell.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 16, 2, 34
"d:\project\bun_vite_uno_naive\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\project\bun_vite_uno_naive\eslint.config.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 4, 6, 33
"d:\project\bun_vite_uno_naive\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\project\bun_vite_uno_naive\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\project\bun_vite_uno_naive\src\App.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 0, 20, 89
"d:\project\bun_vite_uno_naive\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 71, 0, 2, 14, 87
"d:\project\bun_vite_uno_naive\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\project\bun_vite_uno_naive\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"d:\project\bun_vite_uno_naive\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"d:\project\bun_vite_uno_naive\src\components\TheWelcome.vue", "vue", 0, 0, 0, 0, 81, 0, 0, 0, 0, 14, 95
"d:\project\bun_vite_uno_naive\src\components\WelcomeItem.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 0, 12, 88
"d:\project\bun_vite_uno_naive\src\components\__tests__\HelloWorld.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\project\bun_vite_uno_naive\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\project\bun_vite_uno_naive\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\project\bun_vite_uno_naive\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\project\bun_vite_uno_naive\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\project\bun_vite_uno_naive\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 18, 0, 0, 0, 1, 1, 20
"d:\project\bun_vite_uno_naive\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 9, 7, 25
"d:\project\bun_vite_uno_naive\src\router\index.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 12, 8, 38
"d:\project\bun_vite_uno_naive\src\stores\counter.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\project\bun_vite_uno_naive\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\project\bun_vite_uno_naive\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\project\bun_vite_uno_naive\tsconfig.app.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\bun_vite_uno_naive\tsconfig.json", "JSON with Comments", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\project\bun_vite_uno_naive\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\project\bun_vite_uno_naive\tsconfig.vitest.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\project\bun_vite_uno_naive\vite.config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\project\bun_vite_uno_naive\vitest.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 109, 99, 13, 550, 330, 72, 101, 1, 46, 685, 2006